id,artist,title,gender,language,year,timeless,genre,theme,difficulty,coopfriendly,bpm,cover
StressedOut,Twenty One Pilots,Stressed Out,Both,,2015,,HipHop,Deep,Medium,,,10236282
"ShutUpAndDance,Walk the Moon,Shut Up and Dance,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,9154869"
"SeeYouAgain,Wiz Khalifa ft. Charlie Puth,See You Again,Both,,2015,,Ballad,""Love, Deep, Party"",VeryEasy,,,9746786"
"King,Years & Years,King,Both,,2015,,Electro,""Love, Deep, Party"",VeryEasy,,,12548860"
"LushLife,Zara Larsson,Lush Life,Both,,2015,,Pop,""Love, Deep, Party"",VeryEasy,,,15658900"
"Pillowtalk,Zayn,Pillowtalk,Both,,2016,,Pop,""Love, Deep, Party"",VeryEasy,,,12281156"
"Faded,Alan Walker,Faded,Women,English,2015,,Electro,""Deep, Love"",VeryEasy,,90,15103893"
"MyWay,Calvin Harris,My Way,Both,,2016,,Pop,""Love, Deep, Party"",Medium,,,14056654"
BreakTheRules,Charli XCX,Break The Rules,Women,English,2014,,Pop,Party,VeryEasy,,124,8427980
"Attention,Charlie Puth,Attention,Both,,2017,,Pop,""Love, Deep, Party"",Medium,,,39839191"
"Rockabye,Clean Bandit,Rockabye,Both,,2016,,HipHop,""Love, Deep, Party"",Medium,,,14344894"
"HymnForTheWeekend,Coldplay,Hymn For The Weekend,Both,,2015,,Pop,""Love, Deep, Party"",Medium,,,11898198"
"YouSpinMeRound,Dead Or Alive,You Spin Me Round (Like A Record),Both,,1985,,Pop,""Love, Deep, Party"",Medium,,,107577"
"BeTheOne,Dua Lipa,Be The One,Both,,2017,,Pop,""Love, Deep, Party"",VeryEasy,,,11443400"
"CoolKids,Echosmith,Cool Kids,Both,,2013,,Pop,""Love, Deep, Party"",Medium,,,6975073"
"IHateUILoveU,Gnash,""I Hate U, I Love U"",Both,,2016,,HipHop,""Love, Deep, Party"",VeryEasy,,,12668142"
"Trumpets,Jason Derulo,Trumpets,Both,,2014,,HipHop,""Love, Deep, Party"",VeryEasy,,,6920633"
"Imagine,John Lennon,Imagine,Both,,1971,,Ballad,""Love, Deep, Party"",VeryEasy,,,664237"
WayDownWeGo,KALEO,Way Down We Go,Men,English,2015,,Rock,Deep,Easy,,81,10926718
"StoleTheShow,Kygo,Stole The Show,Both,,2016,,Pop,""Love, Deep, Party"",Medium,,,9854614"
MillionReasons,Lady Gaga,Million Reasons,Women,English,2016,,Pop,Deep,Easy,Coop,65,14344820
"AreYouWithMe,Lost Frequencies,Are You With Me,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,8142034"
"LostOnYou,LP,Lost On You,Both,,2016,,Ballad,""Love, Deep, Party"",Hard,,,901406442"
7Years,Lukas Graham,7 Years,Men,English,2015,,Pop,Deep,Easy,,60,12665338
"CantHoldUs,Macklemore E Ryan Lewis,Can't Hold Us,Both,,2012,,HipHop,""Love, Deep, Party"",Hard,,,6019334"
"ThisLove,Maroon 5,This Love,Both,,2002,,Rock,""Love, Deep, Party"",Medium,,,124797"
"AmIWrong,Nico E Vinz,Am I Wrong,Both,,2014,,HipHop,""Love, Deep, Party"",VeryEasy,,,7316575"
"Crazy,Seal,Crazy,Both,,1991,,Ballad,""Love, Deep, Party"",Hard,,,81716"
"Closer,The Chainsmokers,Closer,Both,,2016,,Pop,""Love, Deep, Party"",Hard,,,13680908"
"ImGonnaBe500Miles,The Proclaimers,I'm Gonna Be (500 Miles),Both,,1988,,Rock,""Love, Deep, Party"",VeryEasy,,,300494"
"MammaMia,ABBA,Mamma Mia,Both,,1975,,Rock,""Love, Deep, Party"",VeryEasy,,,100323"
"HowFarIllGo,Auli'i Cravalho,How Far I'll Go,Both,,2016,,Ballad,""Love, Deep, Party"",Easy,,,14582000"
"CruelSummer,Bananarama,Cruel Summer,Both,,1984,,Pop,""Love, Deep, Party"",Hard,,,50494722"
"LivinOnAPrayer,Bon Jovi,Livin' on a prayer,Both,,1986,,Rock,""Love, Deep, Party"",Easy,,,70200002"
24KMagic,Bruno Mars,24K Magic,Men,English,2016,Timeless,Pop,Party,Medium,Coop,107,14581500
"Finesse,Bruno Mars,Finesse remix,Both,,2018,,HipHop,""Love, Deep, Party"",Hard,,,53983322"
"Symphony,Clean Bandit,Symphony,Both,,2017,,Pop,""Love, Deep, Party"",Medium,,,15659400"
"CakeByTheOcean,DNCE,Cake by the ocean,Both,,2015,,Pop,""Love, Deep, Party"",Medium,,,14582084"
"NewRules,Dua Lipa,New Rules,Both,,2017,,Electro,""Love, Deep, Party"",VeryHard,,,42194891"
"AintNobody,Felix Jaehn,Ain't nobody Loves me better,Both,,2015,,Electro,""Love, Deep, Party"",Easy,,,9761230"
"ItAintMe,Kygo E Selena Gomez,It Ain't Me,Both,,2017,,Electro,""Love, Deep, Party"",Easy,,,15383513"
"PerfectIllusion,Lady Gaga,Perfect Illusion,Both,,2016,,Pop,""Love, Deep, Party"",Medium,,,14344820"
"GreenLight,Lorde,Green Light,Both,,2017,,Pop,""Love, Deep, Party"",VeryEasy,,,42886601"
MamboNo5,Lou Bega,Mambo No.5,Men,English,1999,,Pop,Party,Easy,,174,52481862
"ScaredToBeLonely,Martin Garrix E Dua Lipa,Scared to be lonely,Both,,2017,,Electro,""Love, Deep, Party"",Easy,,,15186629"
"YouLetMeWalkAlone,Michael Schulte,You let me walk alone,Both,,2018,,Ballad,""Love, Deep, Party"",VeryEasy,,,59163642"
"X,Nicky Jam E J Balvin,X,Both,,2018,,Electro,""Love, Deep, Party"",Medium,,,116943052"
"DontSpeak,No Doubt,Don't speak,Both,,1996,,Rock,""Love, Deep, Party"",Easy,,,2317301"
WhatsUp,4 Non Blondes,What's Up,Women,English,1992,,Rock,Deep,Medium,,67,218365
FeelItStill,Portugal. The Man,Feel It Still,Men,English,2017,,Pop,Party,Easy,,158,42880391
"Anywhere,Rita Ora,Anywhere,Both,,2017,,Pop,""Love, Deep, Party"",VeryEasy,,,49721102"
"TheresNothingHoldinMeBack,Shawn Mendes,There's nothing holdin' me back,Both,,2016,,Pop,""Love, Deep, Party"",Medium,,,40146561"
"AllIWannaDo,Sheryl Crow,All I wanna do,Both,,1994,,Pop,""Love, Deep, Party"",Hard,,,103812"
"CallOnMe,Starley,Call on me,Both,,2016,,Electro,""Love, Deep, Party"",Medium,,,604167532"
"TheMiddle,Zedd,The Middle,Both,,2018,,Pop,""Love, Deep, Party"",Medium,,,55259802"
"NoRoots,Alice Merton,No Roots,Both,,2016,,Rock,""Love, Deep, Party"",Easy,,,15089535"
SweetButPsycho,Ava Max,Sweet But Psycho,Women,English,2018,,Pop,Love,VeryHard,Coop,133,70366152
YouGiveLoveABadName,Bon Jovi,You Give Love A Bad Name,Men,English,1986,,Rock,Love,VeryEasy,Coop,123,77211342
"ThatsWhatILike,Bruno Mars,That's What I Like,Both,,2017,,Pop,""Love, Deep, Party"",Hard,,,14581500"
"OneKiss,Calvin Harris E Dua Lipa,One Kiss,Both,,2017,,Electro,""Love, Deep, Party"",Medium,,,60712222"
BeAlright,Dean Lewis,Be Alright,Men,English,2018,,Pop,Love,Easy,,64,66647762
